codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
003608	10	81	2	0.0	0.826
003608	10	82	0	0.0	0.0
003629	10	10	110	50.926	47.21
003629	10	8	106	49.074	45.494
003629	10	80	1	0.0	0.429
003629	10	81	16	0.0	6.867
003629	10	82	0	0.0	0.0
003777	10	10	121	65.405	61.735
003777	10	8	63	34.054	32.143
003777	10	80	3	0.0	1.531
003777	10	81	8	0.0	4.082
003777	10	82	1	0.0	0.51
003952	10	10	111	81.618	76.552
003952	10	8	25	18.382	17.241
003952	10	80	3	0.0	2.069
003952	10	81	6	0.0	4.138
003952	10	82	0	0.0	0.0
003982	10	10	112	73.684	67.879
003982	10	8	39	25.658	23.636
003982	10	80	2	0.0	1.212
003982	10	81	11	0.0	6.667
003982	10	82	1	0.0	0.606
004053	10	10	97	48.02	43.694
004053	10	8	104	51.485	46.847
004053	10	80	1	0.0	0.45
004053	10	81	19	0.0	8.559
004053	10	82	1	0.0	0.45
004066	10	10	98	70.0	37.121
004066	10	8	42	30.0	15.909
004066	10	80	116	0.0	43.939
004066	10	81	8	0.0	3.03
004066	10	82	0	0.0	0.0
004070	10	10	72	36.0	31.718
004070	10	8	128	64.0	56.388
004070	10	80	1	0.0	0.441
004070	10	81	26	0.0	11.454
004070	10	82	0	0.0	0.0
004189	10	10	129	64.179	58.636
004189	10	8	71	35.323	32.273
004189	10	80	2	0.0	0.909
004189	10	81	17	0.0	7.727
004189	10	82	1	0.0	0.455
004228	10	10	147	71.014	65.625
004228	10	8	59	28.502	26.339
004228	10	80	0	0.0	0.0
004228	10	81	17	0.0	7.589
004228	10	82	1	0.0	0.446
004618	10	10	127	84.106	77.914
004618	10	8	22	14.57	13.497
004618	10	80	5	0.0	3.067
004618	10	81	7	0.0	4.294
004618	10	82	2	0.0	1.227
004692	10	10	191	81.624	77.642
004692	10	8	43	18.376	17.48
004692	10	80	0	0.0	0.0
004692	10	81	12	0.0	4.878
004692	10	82	0	0.0	0.0
004850	10	10	125	91.241	88.652
004850	10	8	12	8.759	8.511
004850	10	80	0	0.0	0.0
004850	10	81	4	0.0	2.837
004850	10	82	0	0.0	0.0
004925	10	10	104	80.0	73.239
004925	10	8	26	20.0	18.31
004925	10	80	6	0.0	4.225
004925	10	81	6	0.0	4.225
004925	10	82	0	0.0	0.0
005117	10	10	137	87.821	83.03
005117	10	8	19	12.179	11.515
005117	10	80	1	0.0	0.606
005117	10	81	8	0.0	4.848
005117	10	82	0	0.0	0.0
005528	10	10	130	58.824	55.319
005528	10	8	89	40.271	37.872
005528	10	80	0	0.0	0.0
005528	10	81	14	0.0	5.957
005528	10	82	2	0.0	0.851
005632	10	10	0	0.0	0.0
005632	10	8	88	100.0	97.778
005632	10	80	2	0.0	2.222
005632	10	81	0	0.0	0.0
005632	10	82	0	0.0	0.0
005755	10	10	117	64.641	64.641
005755	10	8	51	28.177	28.177
005755	10	80	0	0.0	0.0
005755	10	81	0	0.0	0.0
005755	10	82	13	0.0	7.182
005819	10	10	0	0.0	0.0
005819	10	8	111	100.0	88.8
005819	10	80	2	0.0	1.6
005819	10	81	12	0.0	9.6
005819	10	82	0	0.0	0.0
005983	10	10	180	65.934	65.934
005983	10	8	75	27.473	27.473
005983	10	80	0	0.0	0.0
005983	10	81	0	0.0	0.0
005983	10	82	18	0.0	6.593
006319	10	10	158	69.912	64.49
006319	10	8	68	30.088	27.755
006319	10	80	0	0.0	0.0
006319	10	81	19	0.0	7.755
006319	10	82	0	0.0	0.0
006376	10	10	186	80.87	80.87
006376	10	8	44	19.13	19.13
006376	10	80	0	0.0	0.0
006376	10	81	0	0.0	0.0
006376	10	82	0	0.0	0.0
007501	10	10	71	32.42	30.342
007501	10	8	147	67.123	62.821
007501	10	80	0	0.0	0.0
007501	10	81	15	0.0	6.41
007501	10	82	1	0.0	0.427
007584	10	10	83	35.931	35.931
007584	10	8	148	64.069	64.069
007584	10	80	0	0.0	0.0
007584	10	81	0	0.0	0.0
007584	10	82	0	0.0	0.0
007753	10	10	80	49.08	44.693
007753	10	8	83	50.92	46.369
007753	10	80	0	0.0	0.0
007753	10	81	16	0.0	8.939
007753	10	82	0	0.0	0.0
007862	10	10	144	64.286	59.751
007862	10	8	80	35.714	33.195
007862	10	80	0	0.0	0.0
007862	10	81	17	0.0	7.054
007862	10	82	0	0.0	0.0
007916	10	10	152	53.147	50.667
007916	10	8	90	31.469	30.0
007916	10	80	0	0.0	0.0
007916	10	81	14	0.0	4.667
007916	10	82	44	0.0	14.667
008067	10	10	123	51.464	51.464
008067	10	8	116	48.536	48.536
008067	10	80	0	0.0	0.0
008067	10	81	0	0.0	0.0
008067	10	82	0	0.0	0.0
008080	10	10	132	58.15	55.462
008080	10	8	94	41.41	39.496
008080	10	80	1	0.0	0.42
008080	10	81	10	0.0	4.202
008080	10	82	1	0.0	0.42
008857	10	10	149	68.037	64.502
008857	10	8	69	31.507	29.87
008857	10	80	0	0.0	0.0
008857	10	81	12	0.0	5.195
008857	10	82	1	0.0	0.433
008884	10	10	128	60.377	57.143
008884	10	8	83	39.151	37.054
008884	10	80	0	0.0	0.0
008884	10	81	12	0.0	5.357
008884	10	82	1	0.0	0.446
008916	10	10	141	61.572	59.494
008916	10	8	79	34.498	33.333
008916	10	80	0	0.0	0.0
008916	10	81	8	0.0	3.376
008916	10	82	9	0.0	3.797
008917	10	10	149	67.421	63.948
008917	10	8	71	32.127	30.472
008917	10	80	0	0.0	0.0
008917	10	81	12	0.0	5.15
008917	10	82	1	0.0	0.429
008967	10	10	83	43.915	38.967
008967	10	8	103	54.497	48.357
008967	10	80	0	0.0	0.0
008967	10	81	24	0.0	11.268
008967	10	82	3	0.0	1.408
009187	10	10	85	62.5	58.219
009187	10	8	51	37.5	34.932
009187	10	80	2	0.0	1.37
009187	10	81	8	0.0	5.479
009187	10	82	0	0.0	0.0
009319	10	10	185	80.435	77.083
009319	10	8	45	19.565	18.75
009319	10	80	1	0.0	0.417
009319	10	81	9	0.0	3.75
009319	10	82	0	0.0	0.0
009338	10	10	186	79.487	76.86
009338	10	8	48	20.513	19.835
009338	10	80	0	0.0	0.0
009338	10	81	8	0.0	3.306
009338	10	82	0	0.0	0.0
009344	10	10	155	77.889	73.81
009344	10	8	44	22.111	20.952
009344	10	80	0	0.0	0.0
009344	10	81	11	0.0	5.238
009344	10	82	0	0.0	0.0
009349	10	10	143	69.417	65.899
009349	10	8	62	30.097	28.571
009349	10	80	0	0.0	0.0
009349	10	81	11	0.0	5.069
009349	10	82	1	0.0	0.461
009356	10	10	140	68.627	62.78
009356	10	8	63	30.882	28.251
009356	10	80	2	0.0	0.897
009356	10	81	17	0.0	7.623
009356	10	82	1	0.0	0.448
009365	10	10	109	56.771	54.229
009365	10	8	83	43.229	41.294
009365	10	80	2	0.0	0.995
009365	10	81	7	0.0	3.483
009365	10	82	0	0.0	0.0
009373	10	10	195	86.667	83.691
009373	10	8	30	13.333	12.876
009373	10	80	1	0.0	0.429
009373	10	81	7	0.0	3.004
009373	10	82	0	0.0	0.0
009498	10	10	148	75.897	69.811
009498	10	8	47	24.103	22.17
009498	10	80	2	0.0	0.943
009498	10	81	15	0.0	7.075
009498	10	82	0	0.0	0.0
009501	10	10	138	70.051	66.346
009501	10	8	59	29.949	28.365
009501	10	80	2	0.0	0.962
009501	10	81	9	0.0	4.327
009501	10	82	0	0.0	0.0
009565	10	10	143	69.082	64.414
009565	10	8	62	29.952	27.928
009565	10	80	1	0.0	0.45
009565	10	81	14	0.0	6.306
009565	10	82	2	0.0	0.901
009596	10	10	116	70.303	67.442
009596	10	8	49	29.697	28.488
009596	10	80	1	0.0	0.581
009596	10	81	6	0.0	3.488
009596	10	82	0	0.0	0.0
009653	10	10	152	74.146	69.725
009653	10	8	53	25.854	24.312
009653	10	80	2	0.0	0.917
009653	10	81	11	0.0	5.046
009653	10	82	0	0.0	0.0
009680	10	10	159	76.077	75.0
009680	10	8	50	23.923	23.585
009680	10	80	3	0.0	1.415
009680	10	81	0	0.0	0.0
009680	10	82	0	0.0	0.0
009827	10	10	171	75.33	71.25
009827	10	8	53	23.348	22.083
009827	10	80	1	0.0	0.417
009827	10	81	12	0.0	5.0
009827	10	82	3	0.0	1.25
009874	10	10	168	74.336	69.421
009874	10	8	57	25.221	23.554
009874	10	80	2	0.0	0.826
009874	10	81	14	0.0	5.785
009874	10	82	1	0.0	0.413
009883	10	10	0	0.0	0.0
009883	10	8	51	100.0	85.0
009883	10	80	0	0.0	0.0
009883	10	81	9	0.0	15.0
