codigo_mesa	id_eleccion	id_acta	archivo_id	orden	tipo	nombre	descripcion	output_path	bytes_written	sha256	status	error
000033	10	3301010110	6a262b9a88994bf03076512c	1	1	C61003-ed1ff77ab19b3928f28faa8403d939edd86d9bd30b6cca9b86145fbc0e46e241.pdf	ACTA DE ESCRUTINIO	actas\000033-1.pdf	1405719	ed1ff77ab19b3928f28faa8403d939edd86d9bd30b6cca9b86145fbc0e46e241	downloaded	
000033	10	3301010110	6a262b9a88994bf03076512d	2	2	C61003-0d3bca4801028d5b338322c2a30145d65e1b8934d4ee3b1e772919aef83a5cd1.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000033-2.pdf	1412343	0d3bca4801028d5b338322c2a30145d65e1b8934d4ee3b1e772919aef83a5cd1	downloaded	
000034	10	3401010110	6a2633c65cbecb40e004b739	1	1	C61003-37076768d4c428c04c70c44eefffa299ac022eb19e3819a087cf1d7b7169632c.pdf	ACTA DE ESCRUTINIO	actas\000034-1.pdf	1120283	37076768d4c428c04c70c44eefffa299ac022eb19e3819a087cf1d7b7169632c	downloaded	
000034	10	3401010110	6a2633c65cbecb40e004b73a	2	2	C61003-9a77e43a4b2d17b2ff08786d3cba1f754c538b1404a48425482f44e2447e66d5.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000034-2.pdf	1181399	9a77e43a4b2d17b2ff08786d3cba1f754c538b1404a48425482f44e2447e66d5	downloaded	
000035	10	3501010110	6a2603e87394c3c44b0b9bd8	1	1	C61003-5ed27ead7f0a3c48e05ad674eaf46f88f86922ae586e28d96b4847d8e9ae57a3.pdf	ACTA DE ESCRUTINIO	actas\000035-1.pdf	1400020	5ed27ead7f0a3c48e05ad674eaf46f88f86922ae586e28d96b4847d8e9ae57a3	downloaded	
000035	10	3501010110	6a2603e87394c3c44b0b9bd9	2	2	C61003-68d75dfd57f61b38d11fcf2f6efad6ea40d448a8493228ea55017f6988c96634.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000035-2.pdf	1408034	68d75dfd57f61b38d11fcf2f6efad6ea40d448a8493228ea55017f6988c96634	downloaded	
000036	10	3601010110	6a262bd7a3ce83b352f63690	1	1	C61003-b7ab44b85b75eb14ca4557a9a8adb2da122c508720b05e8de245b0dc682b80db.pdf	ACTA DE ESCRUTINIO	actas\000036-1.pdf	1424954	b7ab44b85b75eb14ca4557a9a8adb2da122c508720b05e8de245b0dc682b80db	downloaded	
000036	10	3601010110	6a262bd8a3ce83b352f63691	2	2	C61003-3a4f2308763395b919ee200437d38b181e4be5dc3b932492fc2be9823d5d5807.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000036-2.pdf	1425363	3a4f2308763395b919ee200437d38b181e4be5dc3b932492fc2be9823d5d5807	downloaded	
000037	10	3701010110	6a260f3ea3ce83b352f6293b	1	1	C61003-9fddafb8599cba6f4c4664c68a5c443ccd47e6f5dbdc8d69ad5f2740f477ef52.pdf	ACTA DE ESCRUTINIO	actas\000037-1.pdf	1393260	9fddafb8599cba6f4c4664c68a5c443ccd47e6f5dbdc8d69ad5f2740f477ef52	downloaded	
000037	10	3701010110	6a260f3ea3ce83b352f6293c	2	2	C61003-84a2ae36469e5addb06d9d6c7dd8eb569bcce20130d20bd1ac52cd212eee4c63.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000037-2.pdf	1348179	84a2ae36469e5addb06d9d6c7dd8eb569bcce20130d20bd1ac52cd212eee4c63	downloaded	
000038	10	3801010110	6a260f367394c3c44b0ba196	1	1	C61003-1b41c8b0ece160382f642e6ee75c6d1c00c208aef25aeb1de5e7c081764f53e9.pdf	ACTA DE ESCRUTINIO	actas\000038-1.pdf	1442222	1b41c8b0ece160382f642e6ee75c6d1c00c208aef25aeb1de5e7c081764f53e9	downloaded	
000038	10	3801010110	6a260f377394c3c44b0ba197	2	2	C61003-08028c093ebe868e722c137534db5613085c6c1b9fd6d0d1f069c0677c1e7eaf.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000038-2.pdf	1433729	08028c093ebe868e722c137534db5613085c6c1b9fd6d0d1f069c0677c1e7eaf	downloaded	
000039	10	3901010110	6a26098fdd637b970a06121a	1	1	C61003-99408074d709037027f385731375c952ed3e62a0f3a8a1acec795a29051558d5.pdf	ACTA DE ESCRUTINIO	actas\000039-1.pdf	1423373	99408074d709037027f385731375c952ed3e62a0f3a8a1acec795a29051558d5	downloaded	
000039	10	3901010110	6a260990dd637b970a06121b	2	2	C61003-60d9901d7d8b7cf1c6c863947373b9a76c873e193f682b103b551cf7b9a6e2c4.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000039-2.pdf	1420196	60d9901d7d8b7cf1c6c863947373b9a76c873e193f682b103b551cf7b9a6e2c4	downloaded	
000040	10	4001010110	6a2609a65cbecb40e0049bde	1	1	C61003-9ad02d6055883bddce09ab7181931226ff755d54e054d17e3344c6fdae5aa286.pdf	ACTA DE ESCRUTINIO	actas\000040-1.pdf	1406760	9ad02d6055883bddce09ab7181931226ff755d54e054d17e3344c6fdae5aa286	downloaded	
000040	10	4001010110	6a2609a65cbecb40e0049bdf	2	2	C61003-6dc658833bbf03feb9aa7ad45a9914c64715f515a5f0e753167a8645a21a86f8.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000040-2.pdf	1389335	6dc658833bbf03feb9aa7ad45a9914c64715f515a5f0e753167a8645a21a86f8	downloaded	
000041	10	4101010110	6a262b625cbecb40e004abd6	1	1	C61003-81c8165c39507e28928ac266fc14aeb2a4aa95213f27ae9a6b17f4fdd4f60c03.pdf	ACTA DE ESCRUTINIO	actas\000041-1.pdf	1429310	81c8165c39507e28928ac266fc14aeb2a4aa95213f27ae9a6b17f4fdd4f60c03	downloaded	
000041	10	4101010110	6a262b625cbecb40e004abd7	2	2	C61003-dad68139bd7824ab619bc19d280799a78c950e86bee0cf92d3bda0c4347d85e6.pdf	ACTA DE INSTALACIÓN Y SUFRAGIO	actas\000041-2.pdf	1432083	dad68139bd7824ab619bc19d280799a78c950e86bee0cf92d3bda0c4347d85e6	downloaded	
