codigo_mesa	id_eleccion	id_ubigeo	nombre_local_votacion	codigo_local_votacion	id_ambito_geografico	electores_habiles	votos_emitidos	votos_validos	total_asistentes	participacion_ciudadana	codigo_estado_acta	descripcion_estado_acta
023169	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023170	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023171	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023173	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023172	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023174	10	100210	IE DEPORTIVO JOSE YATACO PACHAS	1942	1	300	0	0	0	0.0	P	Pendiente
023175	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	230	0	0	0	0.0	P	Pendiente
023176	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023177	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023179	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	262	248	262	87.333	C	Contabilizada
023180	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023178	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023181	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023182	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023183	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	0	0	0	0.0	P	Pendiente
023184	10	100210	IE 22480 JOSE CARLOS MARIATEGUI	1943	1	300	258	244	258	86.0	C	Contabilizada
023185	10	100210	IE DOS DE MAYO	1944	1	230	0	0	0	0.0	P	Pendiente
023186	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023188	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023187	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023189	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023191	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023190	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023193	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023194	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023192	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023195	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023196	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023197	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023198	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023199	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023200	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023201	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023202	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023203	10	100210	IE DOS DE MAYO	1944	1	300	0	0	0	0.0	P	Pendiente
023204	10	100210	IE HORACIO ZEBALLOS GAMEZ	1945	1	255	0	0	0	0.0	P	Pendiente
