id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	940800	8	FUERZA POPULAR	FUERZA POPULAR	84	53.165	51.22	158	164	local_agregado
10	940800	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1	0.633	0.61	158	164	local_agregado
10	940800	81	VOTOS NULOS	VOTOS NULOS	5	3.165	3.049	158	164	local_agregado
10	940800	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	158	164	local_agregado
10	940900	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	1857	38.092	35.988	4875	5160	local_agregado
10	940900	8	FUERZA POPULAR	FUERZA POPULAR	3018	61.908	58.488	4875	5160	local_agregado
10	940900	80	VOTOS EN BLANCO	VOTOS EN BLANCO	38	0.779	0.736	4875	5160	local_agregado
10	940900	81	VOTOS NULOS	VOTOS NULOS	247	5.067	4.787	4875	5160	local_agregado
10	940900	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	4875	5160	local_agregado
10	941000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	41	50.0	47.674	82	86	local_agregado
10	941000	8	FUERZA POPULAR	FUERZA POPULAR	41	50.0	47.674	82	86	local_agregado
10	941000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	82	86	local_agregado
10	941000	81	VOTOS NULOS	VOTOS NULOS	4	4.878	4.651	82	86	local_agregado
10	941000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	82	86	local_agregado
10	941200	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	540	46.272	43.831	1167	1232	local_agregado
10	941200	8	FUERZA POPULAR	FUERZA POPULAR	843	72.237	68.425	1167	1232	local_agregado
10	941200	80	VOTOS EN BLANCO	VOTOS EN BLANCO	7	0.6	0.568	1167	1232	local_agregado
10	941200	81	VOTOS NULOS	VOTOS NULOS	67	5.741	5.438	1167	1232	local_agregado
10	941200	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	3	0.257	0.244	1167	1232	local_agregado
10	941300	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	19	46.341	44.186	41	43	local_agregado
10	941300	8	FUERZA POPULAR	FUERZA POPULAR	22	53.659	51.163	41	43	local_agregado
10	941300	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	41	43	local_agregado
10	941300	81	VOTOS NULOS	VOTOS NULOS	2	4.878	4.651	41	43	local_agregado
10	941300	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	41	43	local_agregado
10	941400	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	283	39.47	37.434	717	756	local_agregado
10	941400	8	FUERZA POPULAR	FUERZA POPULAR	434	60.53	57.407	717	756	local_agregado
10	941400	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	717	756	local_agregado
10	941400	81	VOTOS NULOS	VOTOS NULOS	39	5.439	5.159	717	756	local_agregado
10	941400	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	717	756	local_agregado
10	941500	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	34	37.363	36.17	91	94	local_agregado
10	941500	8	FUERZA POPULAR	FUERZA POPULAR	57	62.637	60.638	91	94	local_agregado
10	941500	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	91	94	local_agregado
10	941500	81	VOTOS NULOS	VOTOS NULOS	3	3.297	3.191	91	94	local_agregado
10	941500	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	91	94	local_agregado
10	941700	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	15988	53.727	50.746	29758	31506	local_agregado
10	941700	8	FUERZA POPULAR	FUERZA POPULAR	16564	55.662	52.574	29758	31506	local_agregado
10	941700	80	VOTOS EN BLANCO	VOTOS EN BLANCO	466	1.566	1.479	29758	31506	local_agregado
10	941700	81	VOTOS NULOS	VOTOS NULOS	1749	5.877	5.551	29758	31506	local_agregado
10	941700	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	351	1.18	1.114	29758	31506	local_agregado
10	941800	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	34	50.746	47.887	67	71	local_agregado
10	941800	8	FUERZA POPULAR	FUERZA POPULAR	33	49.254	46.479	67	71	local_agregado
10	941800	80	VOTOS EN BLANCO	VOTOS EN BLANCO	3	4.478	4.225	67	71	local_agregado
10	941800	81	VOTOS NULOS	VOTOS NULOS	1	1.493	1.408	67	71	local_agregado
10	941800	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	67	71	local_agregado
10	942000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	71	47.651	43.293	149	164	local_agregado
10	942000	8	FUERZA POPULAR	FUERZA POPULAR	78	52.349	47.561	149	164	local_agregado
10	942000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	2	1.342	1.22	149	164	local_agregado
10	942000	81	VOTOS NULOS	VOTOS NULOS	13	8.725	7.927	149	164	local_agregado
10	942000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	149	164	local_agregado
10	942100	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	10	52.632	52.632	19	19	local_agregado
10	942100	8	FUERZA POPULAR	FUERZA POPULAR	9	47.368	47.368	19	19	local_agregado
10	942100	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	19	19	local_agregado
10	942100	81	VOTOS NULOS	VOTOS NULOS	0	0.0	0.0	19	19	local_agregado
10	942100	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	19	19	local_agregado
10	942300	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	66	56.897	54.545	116	121	local_agregado
10	942300	8	FUERZA POPULAR	FUERZA POPULAR	50	43.103	41.322	116	121	local_agregado
10	942300	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	116	121	local_agregado
10	942300	81	VOTOS NULOS	VOTOS NULOS	5	4.31	4.132	116	121	local_agregado
10	942300	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	116	121	local_agregado
10	942400	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	31	41.333	39.744	75	78	local_agregado
10	942400	8	FUERZA POPULAR	FUERZA POPULAR	44	58.667	56.41	75	78	local_agregado
10	942400	80	VOTOS EN BLANCO	VOTOS EN BLANCO	0	0.0	0.0	75	78	local_agregado
10	942400	81	VOTOS NULOS	VOTOS NULOS	3	4.0	3.846	75	78	local_agregado
10	942400	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	75	78	local_agregado
10	942500	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	51	33.553	30.909	152	165	local_agregado
10	942500	8	FUERZA POPULAR	FUERZA POPULAR	101	66.447	61.212	152	165	local_agregado
10	942500	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1	0.658	0.606	152	165	local_agregado
10	942500	81	VOTOS NULOS	VOTOS NULOS	12	7.895	7.273	152	165	local_agregado
10	942500	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	152	165	local_agregado
10	942600	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	18	38.298	36.735	47	49	local_agregado
10	942600	8	FUERZA POPULAR	FUERZA POPULAR	29	61.702	59.184	47	49	local_agregado
10	942600	80	VOTOS EN BLANCO	VOTOS EN BLANCO	2	4.255	4.082	47	49	local_agregado
10	942600	81	VOTOS NULOS	VOTOS NULOS	0	0.0	0.0	47	49	local_agregado
